probe,strength,layer,A,B,C,D,E,sd_A,sd_B,sd_C,dz_B_C,dz_B_A,dz_C_A,dz_D_A,dz_E_A
P2,0.25,29,0.8670964733720862,0.9370955029483563,0.8565591563073595,0.84798488364377,-0.9563392696160677,2.9855154623587365,3.268914334837704,3.1347371221866367,0.12413446422542734,0.09664026751596569,-0.023753848726102804,-0.042679414246595146,-1.1193229626339114
P2,0.25,30,0.5925488177417351,0.7193847540514333,0.6257519277356749,0.6620532825564197,-1.9687106497301703,2.5720994285299397,2.8491315776199317,2.7216723165972057,0.12284658386536064,0.14580653544394528,0.04581022657847826,0.10964116432233625,-1.541198790892141
P2,0.25,31,1.116295599042529,1.2536866682414867,1.0890509610114651,1.1864307858733973,-1.2824261462641526,2.584867900152388,2.818224559445908,2.7202652862204912,0.20323823772215802,0.1607916135380102,-0.037863186991320054,0.12057591276184008,-1.1700991552056008
P2,0.5,0,12.975289742668062,14.423059276886756,12.70843281435157,13.42356741008003,5.585171280842543,5.522689606625758,5.963972725033189,6.204326706642071,0.5152077158481556,0.38494927873421575,-0.11623500227564859,0.12413433239187682,-1.8662511348792366
P2,0.5,1,11.647296169929769,12.41886269700329,11.475656338903345,12.010974331169948,3.164478921903609,6.514692631589629,6.834427719482832,6.572165839840503,0.34081138239288244,0.24937682943696712,-0.07973268112061475,0.11033811955928878,-1.9256410821835368
P2,0.5,2,8.705456023887555,9.032185259069484,8.48094415066124,8.777266660682171,4.833476555513257,2.4924665318582426,2.0914380955887095,2.327930653220259,0.43157193650324993,0.24440344199850103,-0.24947744436305,0.052757832735380095,-2.0121827054433163
P2,0.5,3,7.627000617399013,8.159994934880988,7.494161011041115,7.888364883159079,4.650379127152753,2.1484833615465684,1.7249370344009645,1.9532219805896263,0.7737531340437843,0.5168500160516439,-0.21134538830563931,0.27083007786687807,-2.24678450588221
P2,0.5,4,8.956212314267068,9.399261697672273,8.71403557142043,9.126264027009677,7.12077637261122,1.750156540701916,1.6548233573784104,1.6991398244935463,1.1625116341772996,0.6471710064869978,-0.35948028581668257,0.23935774068826082,-1.8880952141875478
P2,0.5,5,5.892117920396432,6.097550939204798,5.6105815607532845,5.877410895016807,3.474176289580723,2.159369176721716,2.268371804757697,2.0802122951865303,0.5340165233952986,0.2578994934239359,-0.5155870535958237,-0.020244881900621473,-2.4724743680849106
P2,0.5,6,1.0335136947616692,0.9613847849276927,0.9386872449148296,0.9431256643794672,-0.07691398034089013,1.7010319282173407,1.6476315499573557,1.6847741203683397,0.09003654174488172,-0.24105659453410863,-0.3403123155318344,-0.3285651069023526,-3.067517169021539
P2,0.5,7,2.1076675748636076,2.1073802739460445,1.9578283832378456,2.0924702523358563,1.554396015478074,1.4013043468546174,1.4203007686934577,1.4278499435719816,0.5202553231506732,-0.0017390021846769275,-0.5351693658207857,-0.0965615459331721,-1.9846450744079827
P2,0.5,8,1.707096715113138,1.778301430432397,1.5337191535925614,1.7531989174824711,1.0765992791504693,0.7269860966736933,0.772296657441077,0.7564533174000375,0.9451937080172379,0.33091404991229567,-0.7460916169829619,0.21821426950697662,-1.8258908829930787
P2,0.5,9,-0.5059621404337719,-0.3417056783130935,-0.653175995362038,-0.4568366750561131,-0.8866013480807851,1.397905901850002,1.3923512086123073,1.438863130553176,1.019915656877239,0.7845302781337796,-0.5462597425904908,0.18458855158094672,-1.9066232248730783
P2,0.5,10,0.2284916410495664,0.26725242188912,0.11368501606346304,0.2266039108402742,-0.4476968494760947,1.0508534570711043,0.9251829145890326,1.099087101902175,0.3979010520017853,0.13257734155678344,-0.39521975591360353,-0.011030977512992602,-2.9116535365398377
